Time_s,Temperature1_C,Temperature2_C
140.6603878,180.9,93.3
141.2578036,181.2,93.1
141.8579211,181.6,93.1
142.4559054,182.3,93.1
143.051165,182.6,93.1
143.6493455,183,93
144.2451334,183.7,93
144.842656,184,93
145.4421306,184.4,92.8
146.0532572,184.7,92.8
146.6476882,185.5,92.8
147.2432048,185.5,92.7
147.8391303,186.2,92.7
148.4394423,186.6,92.7
149.0361179,187,92.5
149.6344125,187.3,92.4
150.2307693,187.7,92.4
150.8292123,188.1,92.4
151.4276876,188.5,92.3
152.0231043,188.9,92.3
152.6220151,189.3,92.1
153.2175726,189.7,92.1
153.8469458,190.1,92
154.446911,190.5,92
155.0731583,190.9,91.8
155.6698099,191.3,91.8
156.2974711,191.3,91.7
156.8938945,191.7,91.7
157.4926997,191.7,91.5
158.0893954,192.1,91.4
158.6861113,192.1,91.2
159.2815255,192.5,91.2
159.879601,192.5,91.2
160.4787333,192.5,91.1
161.090034,192.5,91.1
161.6856299,192.9,90.9
162.2799732,192.9,90.9
162.8786204,192.9,90.8
163.4762587,192.9,90.6
164.0751132,192.9,90.5
164.6715474,192.5,90.4
165.2660569,192.9,90.2
165.8631536,192.9,90.1
166.4607979,192.9,89.9
167.0569268,192.9,89.8
167.6697103,192.9,89.6
168.2817998,192.5,89.5
168.8776564,192.1,89.3
169.475308,191.7,89.2
170.04283,191.3,88.9
170.6558266,191.3,88.9
171.2519313,190.9,88.7
171.8463775,190.5,88.6
172.4459478,190.1,88.4
173.0565171,189.7,88.3
173.6393385,189.3,88.3
174.2368092,188.9,88.2
174.827365,188.5,88
175.4090809,188.1,88
175.9798521,187.7,88
176.5495692,187.3,87.9
177.1189614,187.3,88
177.7145609,187,87.9
178.2981182,186.6,87.9
178.8643945,186.2,87.9
179.4568931,185.5,87.9
180.0353493,185.1,87.9
180.6430842,185.1,87.9
181.2458089,184.7,87.9
181.8454537,184.4,87.9
182.4702468,184,87.9
183.0673658,183.7,88
183.6698527,183.3,88
184.2483026,183,88.2
