43.6,0.04
43.7,0.03
43.8,0.04
43.9,0.06
44,0.08
44.1,0.07
44.2,0.06
44.3,0.08
44.5,0.1
44.6,0.1
44.7,0.09
44.8,0.11
44.9,0.11
45,0.07
45.1,0.05
45.2,0.07
45.3,0.1
45.4,0.11
45.5,0.09
45.6,0.07
45.7,0.08
45.8,0.08
45.9,0.07
46,0.05
46.1,0.04
46.2,0.07
46.4,0.09
46.5,0.1
46.6,0.1
46.7,0.09
46.8,0.1
46.9,0.1
47,0.08
47.1,0.08
47.2,0.57
47.3,2.73
47.4,6.22
47.5,9.06
47.6,10.68
47.7,11.69
47.8,12.33
47.9,12.76
48,13.07
48.1,13.31
48.3,13.51
48.4,13.66
48.5,13.79
48.6,13.94
48.7,14.06
48.8,14.1
48.9,14.16
49,14.26
49.1,14.31
49.2,14.33
49.3,14.36
49.4,14.41
49.5,14.45
49.6,14.46
49.7,14.5
49.8,14.58
49.9,14.64
50,14.71
50.1,14.76
50.3,14.79
50.4,14.87
50.5,14.92
50.6,14.9
50.7,14.85
50.8,14.85
50.9,14.89
51,14.94
51.1,15
51.2,15.09
51.3,15.13
51.4,15.12
51.5,15.15
51.6,15.19
51.7,15.25
51.8,15.32
51.9,15.34
52.1,15.32
52.2,15.28
52.3,15.26
52.4,15.26
52.5,15.3
52.6,15.36
52.7,15.42
52.8,15.47
52.9,15.48
53,15.49
53.1,15.51
53.2,15.51
53.3,15.52
53.4,15.54
53.5,15.57
53.6,15.6
53.7,15.58
53.8,15.57
53.9,15.64
54.1,15.68
54.2,15.69
54.3,15.7
54.4,15.7
54.5,15.71
54.6,15.76
54.7,15.79
54.8,15.81
54.9,15.83
55,15.85
55.1,15.87
55.2,15.85
55.3,15.85
55.4,15.9
55.5,15.89
55.6,15.89
55.7,15.93
55.8,15.94
56,15.97
56.1,16
56.2,15.97
56.3,15.94
56.4,15.98
56.5,15.99
56.6,15.99
56.7,16.04
56.8,16.08
56.9,16.07
57,16.05
57.1,16.06
57.2,16.08
57.3,16.09
57.4,16.12
57.5,16.15
57.6,16.15
57.7,16.18
57.9,16.2
58,16.17
58.1,16.18
58.2,16.2
58.3,16.22
58.4,16.25
58.5,16.22
58.6,16.18
58.7,16.21
58.8,16.26
58.9,16.24
59,16.24
59.1,16.28
59.2,16.29
59.3,16.27
59.4,16.3
59.5,16.34
59.6,16.36
59.8,16.37
59.9,16.39
60,16.39
60.1,16.36
60.2,16.31
60.3,16.29
60.4,16.3
60.5,16.31
60.6,16.31
60.7,16.33
60.8,16.36
60.9,16.39
61,16.39
61.1,16.39
61.2,16.38
61.3,16.4
61.4,16.43
61.5,16.41
61.7,16.4
61.8,16.42
61.9,16.42
62,16.4
62.1,16.44
62.2,16.5
62.3,16.5
62.4,16.48
62.5,16.5
62.6,16.55
62.7,16.56
62.8,16.54
62.9,16.54
63,16.53
63.1,16.5
63.2,16.53
63.3,16.57
63.4,16.57
63.6,16.55
63.7,16.54
63.8,16.56
63.9,16.59
64,16.58
64.1,16.59
64.2,16.6
64.3,16.59
64.4,16.56
64.5,16.52
64.6,16.54
64.7,16.58
64.8,16.59
64.9,16.6
65,16.62
65.1,16.64
65.2,16.62
65.3,16.59
65.5,16.55
65.6,16.53
65.7,16.56
65.8,16.6
65.9,16.58
66,16.55
66.1,16.63
66.2,16.72
66.3,16.73
66.4,16.64
66.5,16.61
66.6,17.52
66.7,31.66
66.8,61.97
66.9,84.36
67,90.46
67.1,91.43
67.2,91.72
67.4,91.87
67.5,91.96
67.6,92.05
67.7,92.12
67.8,92.12
67.9,92.12
68,92.16
68.1,92.21
68.2,92.25
68.3,92.26
68.4,92.26
68.5,92.28
68.6,92.3
68.7,92.33
68.8,92.35
68.9,92.31
69,92.3
69.1,92.33
69.3,92.36
69.4,92.39
69.5,92.4
69.6,92.37
69.7,92.37
69.8,92.4
69.9,92.39
70,92.39
70.1,92.41
70.2,92.39
70.3,92.39
70.4,92.43
70.5,92.45
70.6,92.44
70.7,92.45
70.8,92.46
70.9,92.45
71,92.44
71.2,92.43
71.3,92.43
71.4,92.45
71.5,92.46
71.6,92.47
71.7,92.45
71.8,92.41
71.9,92.41
72,92.44
72.1,92.44
72.2,92.44
72.3,92.44
72.4,92.44
72.5,92.46
72.6,92.44
72.7,92.41
72.8,92.41
72.9,92.4
73.1,92.43
73.2,92.47
73.3,92.46
73.4,92.44
73.5,92.43
73.6,92.44
73.7,92.44
73.8,92.42
73.9,92.4
74,92.43
74.1,92.48
74.2,92.45
74.3,92.42
74.4,92.43
74.5,92.44
74.6,92.44
74.7,92.47
74.8,92.49
75,92.47
75.1,92.45
75.2,92.46
75.3,92.45
75.4,92.46
75.5,92.47
75.6,92.46
75.7,92.45
75.8,92.42
75.9,92.41
76,92.42
76.1,92.45
76.2,92.46
76.3,92.44
